FIPSCd,CountyName,StateCd,UnemploymentPct,PovertyPct,EducBachlOrHigherPct,PercentDem,PercentRep
39005.0,,,0.049,0.114,0.20199999999999999,23.5,71.3
39007.0,,,0.059000000000000004,0.193,0.134,38.2,57.2
39009.0,,,0.06,0.28800000000000003,0.29600000000000004,55.7,38.7
39011.0,,,0.037000000000000005,0.087,0.185,16.7,79.3
39013.0,,,0.063,0.111,0.161,28.3,67.9
39015.0,,,0.057,0.16899999999999998,0.128,22.3,74.5
39017.0,,,0.044000000000000004,0.107,0.29600000000000004,33.7,62.0
39019.0,,,0.057999999999999996,0.13,0.12300000000000001,24.4,70.8
39021.0,,,0.040999999999999995,0.11,0.161,25.5,70.0
39023.0,,,0.048,0.154,0.18600000000000003,38.0,57.5
39025.0,,,0.044000000000000004,0.087,0.28300000000000003,27.1,68.4
39027.0,,,0.055,0.13,0.17500000000000002,21.8,74.4
39029.0,,,0.059000000000000004,0.151,0.139,27.1,68.7
39031.0,,,0.068,0.157,0.126,26.1,69.4
39033.0,,,0.057,0.155,0.147,24.2,70.9
39035.0,,,0.057999999999999996,0.18100000000000002,0.315,65.8,30.8
39037.0,,,0.042,0.092,0.142,17.6,78.8
39039.0,,,0.048,0.095,0.162,29.7,64.5
39041.0,,,0.035,0.048,0.538,39.5,55.6
39043.0,,,0.061,0.12400000000000001,0.22399999999999998,42.7,52.5
39045.0,,,0.043,0.09,0.266,34.2,61.2
39047.0,,,0.042,0.156,0.158,24.7,71.8
39049.0,,,0.04,0.16,0.387,60.6,34.7
39051.0,,,0.049,0.08199999999999999,0.17300000000000001,28.9,64.8
39053.0,,,0.066,0.19,0.162,20.4,76.0
39055.0,,,0.047,0.064,0.38,35.2,60.7
39057.0,,,0.042,0.098,0.38799999999999996,35.2,59.7
39059.0,,,0.06,0.182,0.139,26.5,69.1
39061.0,,,0.044000000000000004,0.162,0.363,52.6,43.0
39063.0,,,0.036000000000000004,0.09699999999999999,0.271,26.7,67.5
39065.0,,,0.049,0.158,0.155,23.9,71.1
39067.0,,,0.06,0.128,0.109,23.9,72.2
39069.0,,,0.052000000000000005,0.08199999999999999,0.174,27.0,66.8
39071.0,,,0.059000000000000004,0.168,0.12300000000000001,20.2,76.3
39073.0,,,0.054000000000000006,0.145,0.141,29.7,66.2
39075.0,,,0.035,0.09,0.085,16.3,79.3
39077.0,,,0.064,0.14800000000000002,0.13699999999999998,29.1,65.5
39079.0,,,0.071,0.179,0.158,23.7,72.6
39081.0,,,0.073,0.17600000000000002,0.149,30.3,65.9
39083.0,,,0.045,0.107,0.227,28.7,66.9
39085.0,,,0.051,0.087,0.272,39.9,55.5
39087.0,,,0.059000000000000004,0.195,0.145,26.4,70.3
39089.0,,,0.042,0.08900000000000001,0.24600000000000002,33.2,62.1
39091.0,,,0.040999999999999995,0.111,0.151,21.6,74.2
39093.0,,,0.061,0.135,0.237,47.5,47.8
39095.0,,,0.059000000000000004,0.179,0.256,56.0,38.7
39097.0,,,0.039,0.096,0.167,27.8,67.6
39099.0,,,0.068,0.184,0.23199999999999998,49.8,46.8
39101.0,,,0.05,0.165,0.135,30.2,64.6
39103.0,,,0.047,0.06,0.321,35.3,60.2
39105.0,,,0.081,0.19899999999999998,0.13,22.9,73.0
39107.0,,,0.031000000000000003,0.069,0.166,15.6,80.7
39109.0,,,0.042,0.09,0.21,24.9,70.6
39111.0,,,0.083,0.152,0.114,24.6,71.5
39113.0,,,0.049,0.159,0.268,47.1,48.4
39115.0,,,0.067,0.20500000000000002,0.13,27.2,68.6
39117.0,,,0.049,0.11199999999999999,0.136,22.9,72.4
39119.0,,,0.055999999999999994,0.14800000000000002,0.157,30.2,65.1
39121.0,,,0.07200000000000001,0.162,0.106,20.4,75.6
39123.0,,,0.067,0.08900000000000001,0.223,37.4,57.0
39125.0,,,0.044000000000000004,0.102,0.14,23.4,71.9
39127.0,,,0.06,0.157,0.11699999999999999,27.8,68.1
39129.0,,,0.046,0.12,0.17300000000000001,26.6,69.2
